id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
5214460,primary,Βασιλίσσ�,yes,yes,4,50,,,,,,,,,,,
5214469,primary,Βασιλίσσ�,yes,yes,3,,,,,,,,,,,,
5399195,primary,Μεσογείων,yes,yes,2,,,,,,,,,,,,
5728512,secondary,Βασιλέ�,yes,,2,,,,,,,,,,,,
10972181,residential,Οκτάβι�,yes,,,,,,,,,,,,,,
10973125,,Εθνικ�,,,,,,,,wood,fence,,,,,,
20130215,tertiary,Σινώπης,yes,,1,,,,,,,,,,,,
20140573,residential,Αλεξανδρουπόλεως,yes,,1,,,,,,,,,,,,
20140660,residential,Αλεξανδρουπόλεως,yes,,1,,,,,,,,,,,,
20140853,primary,Μιχαλακοπούλου,yes,yes,2,,,,,,,,,,,,
20142627,residential,Ξενίας,yes,,1,30,,,,,,,,,,,
20142815,residential,Αυλίδος,,,1,,,,,,,,,,,,
20143083,primary,Βασιλίσσ�,yes,yes,3,,,,,,,,,,,,
23182656,,Στρατόπε�,,,,,,,,,,,,,,,
23182796,tertiary,Λυκαβηττού,yes,,2,,,,,,,,,,,,
23182798,residential,Ομήρου,yes,,,,,,,,,,,,,,
23182837,residential,Πινδάρου,yes,,,,,,,,,,,,,,
23182838,residential,Σούτσ�,yes,,,,,,,,,,,,,,
23182843,residential,Δημοκρίτου,yes,,,,,,,,,,,,,,
23182847,secondary,Σέκερη,yes,,2,,,,,,,,,,,,
23182848,tertiary,Κανάρη,yes,,2,,,,,,,,,,,,
23182850,residential,Μέρλιν,yes,,,,,,,,,,,,,,
23183030,,Μουσε�,,,,,,,,,,,,,,,
23183475,,,,,,,,,,,,,,,,,
23183949,residential,Ζωοδόχ�,yes,,,,,,,,,,,,,,
23183960,residential,Αναγνωστοπούλου,yes,,,,,,,,,,,,,,
23183961,residential,Γλύκωνος,yes,yes,,,,,,,,,,,,,
23183966,pedestrian,Τσακάλοφ,,,,,,,,,,,,,,,
23184093,residential,Πλούταρχου,yes,,,,,,,,,,,,,,
23184102,residential,Καρνεάδου,yes,,,,,,,,,,,,,,
23184105,residential,Καραο�,,,,,,,,,,,,,,,
23184108,residential,Αλωπεκής,yes,,,,,,,,,,,,,,
23184111,residential,Υψηλάντου,yes,,,,,,,,,,,,,,
23184115,residential,Γενναδί�,,,,,,,,,,,,,,,
23184125,residential,Μον�,,,,,,,,,,,,,,,
23184127,tertiary,Ευζώνων,yes,,2,,,,,,,,,,,,
23184128,tertiary,Αναπήρ�,yes,,2,,,,,,,,,,,,
23184133,residential,Σουηδίας,,,,,,,,,,,,,,,
23184137,pedestrian,Μαρασλή,,,,,,,,,,,,,,,
23184141,residential,Ραβινέ,yes,,1,,,,,,,,,,,,
23184144,residential,Μπεν�,,,,,,,,,,,,,,,
23184148,residential,Ιασίου,yes,,,,,,,,,,,,,,
23184151,tertiary,Πατριάρχ�,no,,1,30,,,,,,,,,,,
23184166,residential,Καψάλη,yes,,,,,,,,,,,,,,
23184174,residential,Νεοφύτ�,yes,,,,,,,,,,,,,,
23184181,tertiary,Κουμπάρη,yes,,2,,,,,,,,,,,,
23184187,residential,Ηράκλειτου,yes,,,,,,,,,,,,,,
23184195,residential,Γλύκωνος,,yes,,,,,,,,,,,,,
23184197,residential,Χάρητος,yes,,,,,,,,,,,,,,
23184198,residential,Ξενοκράτους,yes,yes,,,,,,,,,,,,,
23184213,tertiary,Παλιγγενεσίας,,,2,50,,,,,,,,,,,
23184225,residential,Ερεσσού,yes,,,,,,,,,,,,,,
23214072,tertiary,Ευφρονίου,yes,,1,,,,,,,,,,,,
23214084,residential,Αντήνορος,yes,,1,,,,,,,,,,,,
23214089,residential,Βασιλέ�,,,,,,,,,,,,,,,
23214091,residential,Δράκοντος,yes,,,,,,,,,,,,,,
23214106,residential,Κρίτωνος,yes,,,,,,,,,,,,,,
23214108,residential,Μισθ�,,,,,,,,,,,,,,,
23214111,residential,Αλκιμάχου,yes,,,,,,,,,,,,,,
23214115,residential,Νηρηίδων,yes,,1,,,,,,,,,,,,
23214116,residential,Χείρωνος,yes,,,,,,,,,,,,,,
23214120,residential,Αρχελάου,yes,,,,,,,,,,,,,,
23214128,residential,Αρριανού,yes,,,,,,,,,,,,,,
23214134,residential,Πτολεμαίων,yes,,,,,,,,,,,,,,
23214136,residential,Αμύντα,yes,,,,,,,,,,,,,,
23214145,tertiary,Βασιλέ�,no,yes,2,,,,,,,,,,,,
23214149,residential,Αθηνογένους,,,,,,,,,,,,,,,
23214153,residential,Ευρυδίκης,yes,,,,,,,,,,,,,,
23214154,residential,Εργοτιμου,yes,,,,,,,,,,,,,,
23214169,residential,Αλκμεωνίδων,,,,,,,,,,,,,,,
23214172,residential,Τιμαρχου,yes,,,,,,,,,,,,,,
23214233,pedestrian,Πλατε�,,,,,,,,,,,,,,,
23214235,residential,Στασινού,yes,,,,,,,,,,,,,,
25053713,,,,,,,,,,,,,,,,,
25117509,secondary,Μιχαλακοπούλου,yes,yes,2,,,,,,,,,,,,
26992536,tertiary,Δασκαλογιάννη,,,2,50,,,,,,,,,,,
26992608,unclassified,,yes,,1,,,,,,,,,,,,
26992650,service,,,,,,,,,,,,,,,,
26992663,footway,,,,,,,,,,,,,,,,
26992681,footway,,,,,,,,,,,,,,,,
26992689,footway,,,,,,,,,,,,,,,,
26992691,footway,,,,,,,,,,,,,,,,
26992693,footway,,,,,,,,,,,,,,,,
27599927,,,,,,,,,,,,,,,,,
27600013,,,,,,,,,,,,,,,,,
27633613,,Πλατε�,,,,,,,,,,,,,,,
27633631,,,,,,,,,,,,,,,,,
27633645,,Πλατε�,,,,,,,,,,,,,,,
27633672,,,,,,,,,,,,,,,,,
27795169,tertiary,Φορμίωνος,yes,,1,30,,administrative,,,,,,,,,
30481095,,Τελεφερ�,,,,,funicular,,,,,yes,,,,,
30481498,residential,Αριστίππου,,,,,,,,,,,,,,,
30481504,residential,Δώρ�,,,,,,,,,,,,,,,
30481514,residential,Αριστοδήμου,,,,,,,,,,,,,,,
30481589,residential,Δεινοκράτους,no,,,,,,,,,,,,,,
30481630,pedestrian,Κωνσταντίν�,,,,,,,,,,,,,,,
30481647,residential,Παπαδήμα,yes,,,,,,,,,,,,,,
30481654,residential,Καραχρήστου,yes,,,,,,,,,,,,,,
30481660,residential,Παπαγιάν�,yes,,,,,,,,,,,,,,
30589249,residential,Γεωργί�,no,,2,,,,,,,,,,,,
30589440,secondary,Κοκκινοπούλου,yes,,,,,,,,,,,,,,
30589493,residential,Αδελφ�,yes,,1,,,,,,,,,,,,
30589497,residential,Ισοκράτους,yes,,1,,,,,,,,,,,,
30589502,residential,Σταυραετού,yes,,1,,,,,,,,,,,,
30589509,residential,Τραυλαντώνη,yes,,1,,,,,,,,,,,,
30610990,residential,Ευρυνόμης,yes,,1,,,,,,,,,,,,
30610994,residential,Ανακρέοντος,yes,,1,,,,,,,,,,,,
30611005,residential,Ιάσων�,yes,,1,,,,,,,,,,,,
30611006,residential,Καλλιστράτους,yes,,1,,,,,,,,,,,,
30611026,tertiary,Δημοκρατίας,,,1,,,,,,,,,,,,
30611034,residential,Ιωάν�,yes,,1,,,,,,,,,,,,
30611042,residential,Δαβά�,yes,,1,,,,,,,,,,,,
30611273,residential,Ιπποκρήνης,yes,,1,,,,,,,,,,,,
30611281,residential,Διακρίας,yes,,1,,,,,,,,,,,,
30611293,residential,Τραυλαντώνη,yes,,1,,,,,,,,,,,,
30611308,residential,Ιάσων�,yes,,1,,,,,,,,,,,,
30611310,residential,Αμφιτρίτης,yes,,1,,,,,,,,,,,,
32010213,tertiary,Γρηγορί�,no,,2,,,,,,,,,,,,
32010222,residential,Δαμασίππου,yes,,1,,,,,,,,,,,,
32010232,residential,Ευρυνόμης,yes,,1,,,,,,,,,,,,
32010245,residential,Κερασούντος,yes,,1,,,,,,,,,,,,
32010273,residential,Πλατε�,,,1,,,,,,,,,,,,
32015189,residential,Χερσώνος,yes,,,,,,,,,,,,,,
32015220,steps,Ρωμαν�,,,,,,,,,,,,,,,
32015283,steps,Πατριάρχ�,,,,,,,,,,,,,,,
32015318,steps,Α,no,,,,,,,,,,,,,,
32015322,steps,Δοξαπατρή,no,,,,,,,,,,,,,,
32015340,steps,Κορώνης,,yes,,,,,,,,,,,,,
32015344,residential,Μεθώνης,yes,,,,,,,,,,,,,,
32015354,steps,Πατριάρχ�,,yes,,,,,,,,,,,,,
32015397,residential,Ισαύρων,yes,,,,,,,,,,,,,,
32015424,residential,Τραπεζουντιου,yes,,,,,,,,,,,,,,
32015465,residential,Αριανίτου,yes,,,,,,,,,,,,,,
32015473,residential,Αποκαύκων,yes,,,,,,,,,,,,,,
32015475,residential,Κοσ�,,,,,,,,,,,,,,,
32015477,steps,,no,,,,,,,,,,,,,,
32015478,residential,Ωριγένους,yes,,,,,,,,,,,,,,
32015479,residential,Ιωσ�,yes,,,,,,,,,,,,,,
32015487,residential,Συνεσί�,,,,,,,,,,,,,,,
32015490,steps,Γρηγορί�,no,,,,,,,,,,,,,,
32015501,residential,Βελισσάριου,,,,,,,,,,,,,,,
32015504,residential,Κομνηνών,yes,,,,,,,,,,,,,,
32015638,residential,Λιβίνη,yes,,,,,,,,,,,,,,
32015643,tertiary,Κόνια�,,,2,,,,,,,,,,,,
32015670,tertiary,Γέλωνος,yes,,2,,,,,,,,,,,,
32015698,residential,Έλεν�,no,,,,,,,,,,,,,,
32015827,tertiary,Πέτρ�,yes,,2,,,,,,,,,,,,
32015830,residential,Μακεδόνων,,,,,,,,,,,,,,,
32039668,,Άλσ�,,,,,,,,wood,,,,,,,
32039758,residential,Ίων�,yes,,1,,,,,,,,,,,,
32039761,residential,Διοχάρους,yes,,1,,,,,,,,,,,,
32039765,residential,Κρουσόβου,yes,,1,,,,,,,,,,,,
32039766,residential,Ηριδανού,yes,,,,,,,,,,,,,,
32039768,residential,Γριβογιώργου,yes,,,,,,,,,,,,,,
32039769,residential,Σισί�,yes,,1,,,,,,,,,,,,
32039772,residential,,,,,,,,,,,,,,,,
32039773,residential,Άλυος,yes,,,,,,,,,,,,,,
32039779,residential,Μαιάνδρου,,,,,,,,,,,,,,,
32039781,residential,Αλκμάνος,yes,,1,,,,,,,,,,,,
32039787,tertiary,Παπαδιαμαντοπούλου,no,,2,,,administrative,,,,,,,,,
32039803,residential,Δημητρέσσα,,,,,,,,,,,,,,,
32039812,residential,Άρνης,yes,,,,,,,,,,,,,,
32039821,residential,Λαοδικείας,yes,,1,,,administrative,,,,,,,,,
32039998,tertiary,Μιχαλακοπούλου,yes,,1,,,,,,,,,,,,
32039999,tertiary,Στρατάρχ�,yes,,2,50,,,,,,,,,,,
32040005,tertiary,Γεωργί�,yes,,1,,,,,,,,,,,,
32040006,tertiary,Μικρ�,yes,,1,30,,,,,,,,,,,
32040009,residential,Αλκαίου,yes,,1,,,,,,,,,,,,
32040018,residential,Αλκμάνος,no,,1,,,,,,,,,,,,
32041344,residential,Αντιφίλου,yes,,1,,,,,,,,,,,,
32041349,residential,Δημητρέσσα,no,,1,,,,,,,,,,,,
32041355,residential,Σεμέλης,yes,,1,,,,,,,,,,,,
32041375,residential,Βακχυλίδου,yes,,1,,,administrative,,,,,,,,,
32041377,residential,Βαλέτα,yes,,1,,,,,,,,,,,,
32041378,residential,Κρατερού,yes,,1,,,,,,,,,,,,
32041379,residential,Κρατερού,yes,,1,,,,,,,,,,,,
32041381,residential,Σατόμης,yes,,1,,,administrative,,,,,,,,,
32041393,residential,Γαζίας,yes,,,,,,,,,,,,,,
32041405,residential,Δρυός,no,,,,,,,,,,,,,,
32041407,residential,Κλείτου,yes,,1,,,,,,,,,,,,
32041419,,,,,,,,,,wood,,,,,,,
32069040,residential,Βασιλέ�,,,,,,,,,,,,,,,
32069062,residential,Τεας,,,,,,,,,,,,,,,
32069066,residential,Λεβεδου,,,,,,,,,,,,,,,
32069069,residential,Πενταγιών,yes,,1,,,,,,,,,,,,
32069076,residential,Διοχάρους,yes,,1,,,,,,,,,,,,
32069079,residential,Διοχάρους,yes,,1,,,,,,,,,,,,
32069084,residential,Στεν�,yes,,1,,,,,,,,,,,,
32069087,residential,Ολυτσικα,yes,,1,,,,,,,,,,,,
32069097,residential,Μανωλιασας,yes,,1,,,,,,,,,,,,
32069103,residential,Δεβολη,yes,,1,,,,,,,,,,,,
32069105,residential,Κλεισούρας,,,2,,,,,,,,,,,,
32069107,residential,Πρεμετής,yes,,1,,,,,,,,,,,,
32069108,residential,Ορμηνίου,yes,,1,,,,,,,,,,,,
32069111,residential,Αντιμάχου,yes,,1,,,,,,,,,,,,
32069114,residential,Λάμψακου,yes,,1,,,,,,,,,,,,
32069118,residential,Πόντου,yes,,1,,,,,,,,,,,,
32069155,residential,Αραχωσιάς,yes,,1,,,,,,,,,,,,
32069164,residential,Πενταποταμιάς,no,,,,,,,,,,,,,,
32069191,residential,Λιβύης,yes,,1,,,,,,,,,,,,
32069199,pedestrian,Παυλάτ�,,,,,,,,,,,,,,,
32069202,residential,Καισαρείας,yes,,1,,,,,,,,,,,,
32069205,residential,Αριστοτέ�,yes,,1,,,,,,,,,,,,
32069208,residential,Στύρων,no,,2,,,,,,,,,,,,
32069209,residential,Ποντοηράκλειας,yes,,1,,,,,,,,,,,,
32069210,tertiary,Παπαδιαμαντοπούλου,yes,,1,,,administrative,,,,,,,,,
32069211,residential,Ισχομάχου,yes,,1,,,,,,,,,,,,
32069221,residential,Τραπεζούντος,yes,,1,,,,,,,,,,,,
32069222,residential,Αεροπόρ�,yes,,1,,,,,,,,,,,,
32069223,residential,Φαραντάτων,yes,,1,,,,,,,,,,,,
32069233,residential,Λυδίας,,,,,,,,,,,,,,,
32069244,residential,Καισαρείας,yes,,1,,,,,,,,,,,,
32069249,residential,Βερβαινων,yes,,1,,,,,,,,,,,,
32069252,residential,Οδεμησίου,,,2,,,,,,,,,,,,
32069254,residential,Αλμωπίας,,,,,,,,,,,,,,,
32069256,residential,Νέστου,yes,,1,,,,,,,,,,,,
32069257,residential,Καρτάλη,yes,,1,,,,,,,,,,,,
32069265,pedestrian,Βίγλας,yes,,,,,,,,,,,,,,
32069268,tertiary,Σεμιτέλου,yes,,1,,,,,,,,,,,,
32069281,pedestrian,Σουφλίου,,,,,,,,,,,,,,,
32069284,primary_link,,yes,yes,2,,,,,,,,,,,,
32069287,residential,Εύδηλου,yes,,1,,,,,,,,,,,,
32069322,residential,Κλεοβούλης,yes,,1,,,,,,,,,,,,
32069328,residential,Θεάγους,,,,,,,,,,,,,,,
